"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.40588185055026,0.943,0.274,0,"0","RPLP1P4"
0,2.55561184143958,0.889,0.24,0,"0","FAUP1"
0,2.53788428039511,0.849,0.222,0,"0","RPS26P2"
0,2.05268857476512,0.85,0.232,0,"0","RPS2P33"
0,2.30124392180945,0.847,0.245,0,"0","RPS27AP16"
0,2.54602266401624,0.77,0.201,0,"0","RPL17P34"
0,2.44586914958783,0.772,0.21,0,"0","RPS7P10"
0,1.83085471499766,0.82,0.305,0,"0","VIM"
0,2.16797918484883,0.883,0.37,0,"0","CHIC2"
0,2.35682812105738,0.714,0.203,0,"0","RPS16P10"
0,2.4786819188034,0.704,0.195,0,"0","RPS3P3"
0,1.43029034264612,0.749,0.243,0,"0","S100A4"
0,2.39788476720596,0.691,0.189,0,"0","RPS3AP26"
0,2.03932933161901,0.701,0.2,0,"0","RPS2P18"
0,2.39954051524904,0.687,0.19,0,"0","RACK1P1"
0,2.39149067696058,0.681,0.192,0,"0","LOC100287430"
0,2.51764753458985,0.665,0.178,0,"0","RPL7P32"
0,2.32030247244898,0.651,0.186,0,"0","TPT1P4"
0,2.48824520394576,0.641,0.181,0,"0","RPL23P6"
0,2.36187451340964,0.639,0.181,0,"0","RPL6P10"
0,2.31905365379608,0.629,0.177,0,"0","RPS27AP15"
0,2.45924337922603,0.607,0.172,0,"0","RPS24P19"
0,2.43101563500462,0.596,0.164,0,"0","RPL27AP5"
0,2.37941071741616,0.597,0.167,0,"0","RPS10P16"
0,2.5282307696247,0.587,0.16,0,"0","RPS27P9"
0,2.46237513694907,0.622,0.197,0,"0","RPL10P16"
0,2.31127027493337,0.593,0.168,0,"0","HSPA8P1"
0,2.4249562569891,0.625,0.208,0,"0","RPL27AP6"
0,1.9079911173194,0.907,0.491,0,"0","UBB"
0,2.56748192081792,0.573,0.157,0,"0","RPL37P5"
0,2.4562106857218,0.573,0.157,0,"0","RPS7P8"
0,2.33822520960239,0.607,0.193,0,"0","RPL32P18"
0,2.40756368685076,0.575,0.162,0,"0","RPLP2P5"
0,2.38956081486889,0.719,0.312,0,"0","RPL13P12"
0,2.36957789854013,0.555,0.159,0,"0","RPS12P4"
0,2.22486632668016,0.565,0.171,0,"0","RPL19P6"
0,2.43878282092398,0.545,0.154,0,"0","RPS24P15"
0,2.84364432213803,0.518,0.129,0,"0","MTRNR2L10"
0,2.29814185260275,0.552,0.163,0,"0","RPS19P1"
0,3.25977601290669,0.495,0.113,0,"0","HSPA5P1"
0,2.61209333623739,0.517,0.137,0,"0","RPL35AP34"
0,2.33766487017547,0.537,0.157,0,"0","RPS8P4"
0,2.23163325909089,0.523,0.16,0,"0","RPS20P10"
0,2.4644871022039,0.519,0.158,0,"0","RPL17P9"
0,2.64223266200217,0.487,0.13,0,"0","RPL30P14"
0,2.46519715884936,0.498,0.143,0,"0","RPL32P32"
0,2.41557045065717,0.532,0.18,0,"0","RPS3P4"
0,2.60891739906989,0.475,0.126,0,"0","EIF1P5"
0,2.29278291875614,0.492,0.145,0,"0","RPL32P20"
0,2.44658531111604,0.479,0.137,0,"0","RPL5P17"
0,2.38467610741775,0.47,0.135,0,"0","RPL21P41"
0,2.33580658354125,0.471,0.138,0,"0","RPL15P5"
0,2.31203705240778,0.485,0.154,0,"0","RPL37AP8"
0,2.20897011029356,0.476,0.145,0,"0","RPSAP19"
0,2.41196345832563,0.449,0.127,0,"0","RPL22P2"
0,2.34401314646428,0.45,0.131,0,"0","RPL23AP44"
0,2.18905710036395,0.458,0.143,0,"0","RPL10AP4"
0,2.32458248595249,0.449,0.134,0,"0","RPL13AP24"
0,2.62903946447131,0.409,0.106,0,"0","NPM1P4"
0,2.3163054674359,0.426,0.126,0,"0","RPS16P7"
0,2.4444524315769,0.414,0.115,0,"0","RPL7P45"
0,2.07140344164005,0.576,0.28,0,"0","RPS18P5"
0,2.32126486230919,0.44,0.145,0,"0","RPS8P8"
0,1.67833543596052,0.459,0.169,0,"0","HSP90AA2P"
0,3.00262465641627,0.372,0.082,0,"0","PDGFRA"
0,2.39528641838123,0.41,0.122,0,"0","RPL21P110"
0,2.35391552458713,0.402,0.116,0,"0","TPT1P10"
0,2.57698591031321,0.389,0.104,0,"0","RPL10P1"
0,1.8828341914019,0.439,0.154,0,"0","ACTBP2"
0,2.44448978988535,0.394,0.109,0,"0","RPL39P5"
0,2.52635645150135,0.393,0.11,0,"0","RPL7P56"
0,2.20043049124925,0.512,0.229,0,"0","RPS10P19"
0,2.96247142174851,0.368,0.085,0,"0","GAPDHP65"
0,2.16976386494093,0.45,0.169,0,"0","RPL13AP25"
0,2.59741411771909,0.383,0.102,0,"0","RPS8P5"
0,1.9659767669707,0.422,0.144,0,"0","RPL41P6"
0,2.41200005483364,0.408,0.133,0,"0","RPL31P4"
0,2.30988861159129,0.395,0.121,0,"0","RPS12P32"
0,3.18151492877016,0.348,0.074,0,"0","MT1M"
0,2.3283201930839,0.386,0.113,0,"0","RPS15AP25"
0,2.35391781098798,0.421,0.15,0,"0","FN1"
0,2.32045399359997,0.386,0.118,0,"0","RPL3P2"
0,2.41893668885046,0.38,0.112,0,"0","RPL32P21"
0,2.37262396734032,0.374,0.111,0,"0","RPL3P9"
0,2.6098043338304,0.364,0.102,0,"0","RPL30P4"
0,2.42285550994409,0.366,0.105,0,"0","RPL23P8"
0,2.27271178215903,0.388,0.133,0,"0","EEF1B2P6"
0,2.12170024504158,0.376,0.124,0,"0","RPS15P2"
0,2.45690110502678,0.349,0.098,0,"0","RPL17P22"
0,2.33499705529775,0.385,0.135,0,"0","RPS8P1"
0,2.53636529961422,0.372,0.123,0,"0","RPL24P8"
0,2.22006141774151,0.358,0.114,0,"0","RPS20P6"
0,1.99885436660609,0.53,0.29,0,"0","RPL3P4"
0,1.86013178963248,0.37,0.135,0,"0","COX5BP1"
0,2.57205869112714,0.326,0.092,0,"0","RPL10P15"
0,2.43194195154862,0.327,0.095,0,"0","RPS29P6"
0,2.62889390755929,0.321,0.092,0,"0","RPL37P11"
0,2.2697920789924,0.331,0.103,0,"0","UBA52P5"
0,2.16070125548371,0.332,0.109,0,"0","RPL10AP2"
0,2.38642919150441,0.32,0.097,0,"0","RPL23AP18"
0,2.64427520368196,0.298,0.077,0,"0","RPL35AP21"
0,2.02130330324058,0.352,0.135,0,"0","HSP90AB3P"
0,2.32943668528867,0.332,0.116,0,"0","RPL7AP66"
0,2.56228869487697,0.299,0.083,0,"0","RPL35AP32"
0,2.67476660537114,0.298,0.082,0,"0","FTH1P2"
0,2.33342055544285,0.327,0.112,0,"0","RPS19P3"
0,2.60865004313887,0.296,0.082,0,"0","RPS4XP13"
0,2.28174498663249,0.556,0.344,0,"0","VEGFA"
0,2.33007392965671,0.306,0.094,0,"0","RPL12P2"
0,2.66277501952284,0.301,0.089,0,"0","EIF1P7"
0,2.47368543346854,0.298,0.087,0,"0","RPL34P16"
0,1.92010531413419,0.365,0.154,0,"0","SLC25A4"
0,2.52100315783668,0.289,0.079,0,"0","NPM1P32"
0,2.96039600419487,0.263,0.06,0,"0","GAPDHP59"
0,2.42193968121154,0.281,0.083,0,"0","RPS7P6"
0,2.03916237275672,0.439,0.243,0,"0","RPS12P22"
0,2.43146558424803,0.28,0.084,0,"0","RPS6P6"
0,2.41059212622628,0.287,0.092,0,"0","TPT1P9"
0,2.31752765570276,0.279,0.085,0,"0","RPS23P7"
0,2.59512306330517,0.265,0.071,0,"0","EIF1P4"
0,1.30328404627041,0.616,0.427,0,"0","TUBA1A"
0,2.28016446121431,0.272,0.085,0,"0","RPL13AP22"
0,2.34874154146782,0.268,0.082,0,"0","RPS10P29"
0,2.35804275988185,0.266,0.08,0,"0","RPL32P12"
0,2.34683114746622,0.266,0.081,0,"0","HSPA8P5"
0,2.09131555719631,0.514,0.33,0,"0","RPL9P8"
0,2.03583458918711,0.353,0.172,0,"0","RPS15P4"
0,2.18958602151799,0.265,0.084,0,"0","RPSAP28"
0,2.0513588109544,0.272,0.094,0,"0","RPS2P1"
0,2.15287096968867,0.265,0.089,0,"0","RPS2P24"
0,1.6234855009014,0.31,0.134,0,"0","COL1A2"
0,2.28041243205114,0.257,0.082,0,"0","RPL36P5"
0,2.23085361169531,0.26,0.087,0,"0","RPS20P26"
0,2.1136346587875,0.263,0.09,0,"0","LOC100134362"
0,2.42363712370014,0.486,0.314,0,"0","ESD"
0,1.65669144970601,0.291,0.121,0,"0","PPIAP74"
0,2.06456614115585,0.258,0.092,0,"0","RPS2P53"
0,2.37981348554242,0.26,0.096,0,"0","EIF3EP3"
0,2.03023901798633,0.379,0.218,0,"0","RBPJ"
0,1.96622601946984,0.252,0.093,0,"0","PRRX1"
0,0.91712441640153,0.685,0.839,0,"0","RPS27"
0,2.08092913421002,0.444,0.295,0,"0","KLF4"
0,1.05607949491925,0.682,0.818,0,"0","EEF1G"
0,0.846497173103463,0.789,0.655,0,"0","H2AZ1"
0,1.77220208109697,0.553,0.421,0,"0","PCBP1"
0,0.80956822935952,0.783,0.908,0,"0","RPS11"
0,0.913731443113276,0.769,0.891,0,"0","RPS3A"
0,1.1944215145578,0.716,0.836,0,"0","HSP90B1"
0,0.749747018871318,0.811,0.93,0,"0","RPL37A"
0,0.764980729889011,0.808,0.923,0,"0","MIF"
0,1.03697852408818,0.815,0.928,0,"0","EIF1"
0,1.78584884638947,0.516,0.403,0,"0","KRTCAP2"
0,1.05954410506369,0.697,0.801,0,"0","GNAS"
0,0.793069281625958,0.839,0.942,0,"0","RPS13"
