"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.4248558763998e-61,0.314783030387066,0.607,0.523,2.01792508237476e-56,"LPS-N","RPS2P33"
1.7075672002079e-58,0.305434760626928,0.741,0.689,1.00609859436249e-53,"LPS-N","UBB"
1.32286362877359e-53,0.305427700462363,0.674,0.619,7.79431250073399e-49,"LPS-N","CHIC2"
1.48248998028038e-48,0.254354365610374,0.63,0.549,8.73483096381202e-44,"LPS-N","FAUP1"
9.44717094126976e-47,0.293994859272028,0.612,0.554,5.56627311859614e-42,"LPS-N","VIM"
1.09009748125619e-46,0.323544011862732,0.542,0.474,6.42285435956146e-42,"LPS-N","RPL17P34"
1.25525773321292e-46,0.264975358522082,0.607,0.531,7.39597856409053e-42,"LPS-N","RPS27AP16"
7.40341061555011e-45,0.430136089190298,0.427,0.367,4.36208953468213e-40,"LPS-N","HSPA8P1"
4.56474234372393e-38,0.276473746012361,0.545,0.481,2.68954618892214e-33,"LPS-N","RPS7P10"
3.57362719399664e-36,0.30697782715681,0.499,0.441,2.10558114270282e-31,"LPS-N","RPS3P3"
3.75124028824958e-36,0.316726564133162,0.484,0.428,2.21023077783665e-31,"LPS-N","LOC100287430"
2.16489101933193e-34,0.298215157829393,0.489,0.431,1.27555378859037e-29,"LPS-N","RPS3AP26"
4.14802270702175e-34,0.287091421437289,0.499,0.441,2.44401497897721e-29,"LPS-N","RPS2P18"
3.22584370200726e-31,0.280842845320246,0.506,0.452,1.90066710922268e-26,"LPS-N","RPS16P10"
3.97910748259538e-31,0.282891668646364,0.485,0.431,2.3444901287452e-26,"LPS-N","RACK1P1"
7.86487325965769e-31,0.301555497894733,0.551,0.512,4.63398332459031e-26,"LPS-N","RPL13P12"
4.38996751039647e-30,0.432070149335529,0.337,0.292,2.5865688571256e-25,"LPS-N","EIF1P5"
6.43577903833623e-28,0.315255482813845,0.422,0.376,3.79196100938771e-23,"LPS-N","RPS10P16"
1.07917215815828e-26,0.283078916275419,0.453,0.405,6.35848235586861e-22,"LPS-N","RPL23P6"
2.63612398447202e-26,0.283181373782586,0.459,0.414,1.55320425165092e-21,"LPS-N","TPT1P4"
1.6430218818494e-25,0.292157890092958,0.443,0.399,9.68068492785664e-21,"LPS-N","RPS27AP15"
2.9199212878627e-23,0.257547617860286,0.794,0.807,1.7204176228087e-18,"LPS-N","HSPA5"
1.98425831615573e-22,0.365280167020516,0.344,0.306,1.16912499987896e-17,"LPS-N","HSP90AA2P"
7.52526642457659e-22,0.288073079919224,0.444,0.409,4.43388697736053e-17,"LPS-N","RPL10P16"
7.31392942352517e-20,0.322599236874749,0.37,0.336,4.30936721634103e-15,"LPS-N","RPL17P9"
2.0830386328189e-19,0.380325311896088,0.287,0.253,1.22732636245689e-14,"LPS-N","TPT1P10"
4.12571461875775e-19,0.280403895292104,0.67,0.696,2.43087105337207e-14,"LPS-N","LOC124905331"
1.76557284974157e-16,0.288996411968434,0.372,0.34,1.04027552306773e-11,"LPS-N","RPS20P10"
1.98300558049929e-16,0.295382381360893,0.354,0.324,1.16838688803018e-11,"LPS-N","MTRNR2L10"
2.45229004693818e-16,0.266097676897288,0.388,0.357,1.44488929565598e-11,"LPS-N","RPS12P4"
5.59679261960505e-16,0.262038660819352,0.388,0.358,3.2976302114713e-11,"LPS-N","RPS19P1"
2.3211928125664e-15,0.310708866659789,0.335,0.303,1.36764680516412e-10,"LPS-N","HSPA5P1"
4.19190585104141e-15,0.37109886757875,0.283,0.255,2.4698709274336e-10,"LPS-N","NPM1P4"
8.30995427617348e-15,0.259675697263363,0.38,0.35,4.89622505952142e-10,"LPS-N","RPS24P15"
2.8591448764444e-14,0.288342739023864,0.335,0.308,1.68460816120104e-09,"LPS-N","RPL5P17"
3.95649666593237e-14,0.274688898456545,0.383,0.357,2.33116783556735e-09,"LPS-N","RPS3P4"
4.07766931163246e-14,0.262530923657353,0.349,0.32,2.40256275841385e-09,"LPS-N","RPL32P32"
1.29852289194389e-13,0.368460546794542,0.265,0.239,7.65089687933337e-09,"LPS-N","HSP90AB3P"
2.20683724884937e-13,0.265953418430249,0.337,0.309,1.30026850702205e-08,"LPS-N","RPL30P14"
6.96213868959186e-13,0.35698171079145,0.383,0.367,4.10209211590752e-08,"LPS-N","KLF4"
