"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL1B",1.79350721856392e-83,0.759776279117313,0.615,0.448,1.05673445317786e-78
"CXCL8",1.03322954596797e-74,1.202557400269,0.381,0.226,6.08778848484328e-70
"AKAP12",1.9040246023533e-65,0.890414605930716,0.46,0.306,1.12185129570657e-60
"HAS2",5.7899311107048e-63,0.762380280295345,0.552,0.409,3.41142741042727e-58
"DST",3.39235766980075e-57,-0.267839114416333,0.965,0.978,1.9987771390466e-52
"HMGA1",4.51600013141195e-56,0.465319613733481,0.753,0.646,2.66082727742792e-51
"CST6",5.50248280674042e-52,0.876028071306759,0.27,0.147,3.24206286973145e-47
"BTG1",2.17088818693187e-50,0.408429330039734,0.863,0.795,1.27908731974026e-45
"SOD2",6.89759283958667e-46,0.820402483763084,0.431,0.309,4.06406170108447e-41
"MTSS1",5.06470039882397e-44,0.609226118482806,0.465,0.334,2.98412147498708e-39
"SH3KBP1",4.20262152050191e-42,0.541592533965418,0.495,0.363,2.47618459987973e-37
"S100A6",5.18375337591053e-41,0.284677409310057,0.952,0.926,3.05426748908649e-36
"PLAU",2.27933678675572e-40,0.671878220371727,0.52,0.403,1.34298523475647e-35
"VGLL3",1.10652198938843e-39,0.76259059055852,0.294,0.183,6.51962756147665e-35
"KRT81",9.77608056573646e-39,0.722729503741466,0.487,0.374,5.76006666933192e-34
"INHBA",1.4764513500626e-38,0.356728124134232,0.791,0.694,8.69925135456887e-34
"IL1A",1.53289708250306e-38,0.496984693948597,0.537,0.412,9.03182961010806e-34
"NCL",1.89763589289577e-38,-0.258035011563464,0.858,0.886,1.11808706809419e-33
"FAM83A",2.65575441562597e-37,0.53366037196987,0.376,0.256,1.56477050168682e-32
"LAMC2",1.46217961742542e-36,0.360815376170076,0.818,0.757,8.61516230587059e-32
"MYO1E",7.96713714963083e-36,0.410850225474505,0.661,0.549,4.69423720856249e-31
"MT2A",6.09298666664659e-35,0.328957773901495,0.916,0.889,3.58998774398817e-30
"F3",6.37179830607929e-35,0.495383577475431,0.622,0.511,3.75426356194192e-30
"CD59",7.90494835667236e-35,0.352697761250613,0.715,0.62,4.65759557175135e-30
"SERPINB2",1.26858862432226e-34,0.68085541408334,0.329,0.222,7.47452417450674e-30
"GPRC5A",2.35511441765546e-34,0.50288879957062,0.54,0.424,1.38763341488259e-29
"PLAUR",2.70848993925237e-33,0.516415598047386,0.544,0.432,1.5958422722075e-28
"LOC100132154",3.48828494829198e-33,0.637885016207284,0.334,0.229,2.05529749153363e-28
"TINAGL1",6.64897254519605e-33,0.329516124949,0.781,0.712,3.91757462362951e-28
"TNFAIP2",8.70097632088847e-33,0.96212304262772,0.27,0.178,5.12661524826748e-28
"KRT6B",5.81079216656217e-32,0.633297222702194,0.358,0.253,3.42371874453843e-27
"TMCC3",6.23164235730697e-30,0.458841187789013,0.475,0.366,3.67168367692527e-25
"CDCP1",7.63503939190821e-30,0.421486691252575,0.449,0.332,4.49856520971232e-25
"CD82",1.27855218337396e-29,0.515022995232513,0.289,0.188,7.53322946443938e-25
"HDAC9",3.9665500621475e-29,0.503127539762103,0.445,0.34,2.33709129661731e-24
"UPP1",4.55476641256602e-29,0.596639533485627,0.251,0.158,2.6836683702839e-24
"RIPK2",3.70353329067111e-28,0.526271739574798,0.34,0.239,2.18212181486342e-23
"PTPN12",3.75129230690839e-27,0.346099616366694,0.615,0.508,2.21026142723042e-22
"FGD6",2.77069649851297e-26,0.441216790844646,0.375,0.271,1.63249437692384e-21
"SEMA3A",1.69297471835611e-25,0.357920658661075,0.661,0.576,9.97500704055422e-21
"ARNTL2",2.49616092373914e-25,0.434892269749216,0.389,0.287,1.4707380162671e-20
"EHF",4.03058041900448e-25,0.351051365672952,0.524,0.415,2.37481798287744e-20
"HBEGF",9.12610437510446e-25,0.315895454421435,0.575,0.47,5.37710069781155e-20
"ELF3",1.3689374610009e-24,0.559972400400808,0.305,0.217,8.06577952021728e-20
"MBOAT2",4.36799122668863e-23,0.378344411735574,0.354,0.257,2.57362043076494e-18
"DAPP1",4.42838573559368e-23,0.537656208092483,0.282,0.198,2.6092048754118e-18
"CDKN1A",4.43941057334342e-23,0.375548838211179,0.402,0.301,2.61570070981394e-18
"CTHRC1",4.95230204778858e-23,0.348334614831465,0.465,0.359,2.91789636655703e-18
"BLZF1",5.15142666831238e-23,0.436353010153925,0.349,0.256,3.03522059296966e-18
"SDC4",2.03996118152659e-22,0.355283183462579,0.473,0.368,1.20194512815547e-17
"RASA2",8.42002019790418e-22,0.321947118401091,0.482,0.381,4.96107590060514e-17
"ALDH1A3",8.45839045114695e-22,0.333359671347298,0.662,0.582,4.98368365381578e-17
"MYO5B",1.11583884492511e-21,0.486890426981656,0.257,0.177,6.57452247429873e-17
"HLA-B",1.26677494724661e-21,0.322976502272481,0.604,0.51,7.46383798917701e-17
"CLTB",1.92408832488421e-21,0.29180868192265,0.576,0.474,1.13367284102177e-16
"PMAIP1",9.99062912110253e-21,0.343674871505268,0.451,0.356,5.88647867815361e-16
"MICAL2",1.11394245279283e-20,0.282653951968685,0.541,0.444,6.56334893185535e-16
"ANTXR2",2.01905878988631e-20,0.436799062111079,0.264,0.183,1.18962943900101e-15
"MAST4",4.72149291004339e-20,0.293935287301091,0.615,0.524,2.78190362259756e-15
"EFHD2",4.99829423276871e-20,0.308132563248215,0.481,0.383,2.94499496194732e-15
"CDH1",5.51887927731506e-19,0.314465669996917,0.488,0.392,3.25172367019404e-14
