"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS26P2",0,1.39535989398242,0.888,0.45,0,"0","RPS26P2"
"FAUP1",0,1.35478561891411,0.912,0.481,0,"0","FAUP1"
"RPLP1P4",0,1.26698145844731,0.956,0.527,0,"0","RPLP1P4"
"RPL17P34",0,1.34094999267488,0.809,0.407,0,"0","RPL17P34"
"RPS27AP16",0,1.15413415534969,0.866,0.47,0,"0","RPS27AP16"
"RPS7P10",0,1.32682089895683,0.807,0.414,0,"0","RPS7P10"
"RPS2P33",0,0.996524811790213,0.857,0.467,0,"0","RPS2P33"
"RPS16P10",0,1.27284435433614,0.748,0.388,0,"0","RPS16P10"
"RPS3P3",0,1.29948514358782,0.739,0.379,0,"0","RPS3P3"
"LOC100287430",0,1.32860504754459,0.719,0.368,0,"0","LOC100287430"
"RPL7P32",0,1.32760157464003,0.702,0.352,0,"0","RPL7P32"
"RPL23P6",0,1.37609294644858,0.691,0.341,0,"0","RPL23P6"
"HSPA5P1",0,1.9644613040598,0.578,0.232,0,"0","HSPA5P1"
"RPS3AP26",0,1.20953810736773,0.718,0.373,0,"0","RPS3AP26"
"RACK1P1",0,1.23929224267774,0.711,0.373,0,"0","RACK1P1"
"RPS27P9",0,1.35855261606553,0.625,0.311,0,"0","RPS27P9"
"RPS24P19",0,1.34088900985409,0.641,0.328,0,"0","RPS24P19"
"RPL6P10",0,1.22368197752709,0.661,0.349,0,"0","RPL6P10"
"RPS2P18",0,0.983884623595603,0.704,0.392,0,"0","RPS2P18"
"EIF1P5",0,1.60949991044509,0.542,0.237,0,"0","EIF1P5"
"RPL13P12",0,1.31999524486939,0.758,0.455,0,"0","RPL13P12"
"RPS27AP15",0,1.16636553846364,0.647,0.345,0,"0","RPS27AP15"
"RPL10P16",0,1.27135211801379,0.651,0.351,0,"0","RPL10P16"
"TPT1P4",0,1.14246848914442,0.661,0.361,0,"0","TPT1P4"
"RPL37P5",0,1.33702648456626,0.606,0.306,0,"0","RPL37P5"
"RPS24P15",0,1.39159087800788,0.589,0.289,0,"0","RPS24P15"
"RPL27AP5",0,1.25048870943319,0.622,0.322,0,"0","RPL27AP5"
"RPS7P8",0,1.30005315481058,0.605,0.306,0,"0","RPS7P8"
"RPS10P16",0,1.24812841898006,0.622,0.325,0,"0","RPS10P16"
"RPL27AP6",0,1.24904625104723,0.654,0.358,0,"0","RPL27AP6"
"CHIC2",0,0.888940292667385,0.868,0.573,0,"0","CHIC2"
"RPL35AP34",0,1.43423127103447,0.559,0.269,0,"0","RPL35AP34"
"RPL32P18",0,1.26311937690809,0.632,0.343,0,"0","RPL32P18"
"RPLP2P5",0,1.2597468204646,0.601,0.313,0,"0","RPLP2P5"
"RPL30P14",0,1.53611584618791,0.537,0.251,0,"0","RPL30P14"
"RPS12P4",0,1.25695432466652,0.581,0.303,0,"0","RPS12P4"
"RPS19P1",0,1.24353231261403,0.576,0.305,0,"0","RPS19P1"
"RPL17P9",0,1.35239468945829,0.555,0.285,0,"0","RPL17P9"
"RPL32P20",0,1.37145554585455,0.534,0.265,0,"0","RPL32P20"
"MTRNR2L10",0,1.26762872753239,0.538,0.272,0,"0","MTRNR2L10"
"VIM",0,0.628757420756976,0.782,0.516,0,"0","VIM"
"RPL32P32",0,1.36876980803838,0.533,0.268,0,"0","RPL32P32"
"NPM1P4",0,1.59228499383319,0.463,0.204,0,"0","NPM1P4"
"RPL19P6",0,1.11468151025042,0.578,0.319,0,"0","RPL19P6"
"RPS3P4",0,1.28151761641979,0.563,0.305,0,"0","RPS3P4"
"RPS20P10",0,1.1695173729191,0.541,0.293,0,"0","RPS20P10"
"RPS8P4",0,1.15788510137211,0.547,0.3,0,"0","RPS8P4"
