"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.38145646227734,0.94,0.509,0,"0","RPLP1P4"
0,1.40877457598383,0.892,0.468,0,"0","FAUP1"
0,1.46641072679761,0.85,0.432,0,"0","RPS26P2"
0,1.22801320853549,0.857,0.464,0,"0","RPS27AP16"
0,1.44903291030279,0.796,0.414,0,"0","RPL17P34"
0,1.36034562524859,0.786,0.417,0,"0","RPS7P10"
0,1.91313961178961,0.829,0.769,0,"0","HSPA5"
0,1.03172332526225,0.952,0.926,0,"0","UBA52"
0,0.939345586838674,0.929,0.94,0,"0","RPL23"
0,1.03456307191747,0.945,0.937,0,"0","FAU"
0,0.942179413783649,0.953,0.948,0,"0","RPL18A"
0,1.01682687606738,0.98,0.978,0,"0","RPL30"
0,0.883379877667316,0.949,0.95,0,"0","RPS20"
0,0.894275105953327,0.989,0.988,0,"0","RPS14"
0,0.931156716104426,0.933,0.934,0,"0","RPL37"
0,0.898969522365397,0.99,0.99,0,"0","RPL8"
2.59809013090177e-293,1.43638880973601,0.751,0.446,1.53079470512732e-288,"0","RPL13P12"
3.46508996854163e-290,0.819912371958126,0.94,0.962,2.04163100946473e-285,"0","RACK1"
7.35323756354154e-276,0.733874218318352,0.959,0.979,4.33252757243867e-271,"0","RPL28"
1.36258468368533e-275,1.33854041151216,0.743,0.394,8.02834895627395e-271,"0","RPS3P3"
6.68206145180269e-270,1.07677066720316,0.857,0.873,3.93707060740215e-265,"0","EIF1"
3.96451729739799e-264,1.02588184501688,0.857,0.473,2.33589359162689e-259,"0","RPS2P33"
6.87929647957029e-264,2.26887806128592,0.547,0.228,4.05328148576282e-259,"0","HSPA5P1"
3.56855258499636e-263,1.07582385301023,0.834,0.831,2.10259118307986e-258,"0","RPS21"
9.7677667471727e-263,1.32769882463632,0.731,0.392,5.75516816743416e-258,"0","RPS16P10"
3.510007234897e-255,0.701370485153325,0.955,0.966,2.06809626280132e-250,"0","RPL19"
3.75265849375684e-254,1.36839657080558,0.703,0.381,2.21106638452153e-249,"0","LOC100287430"
4.09679522618208e-253,1.00714122144528,0.855,0.853,2.41383174726648e-248,"0","RPS5"
3.09485224181076e-246,1.39922718266876,0.676,0.358,1.8234869408749e-241,"0","RPL23P6"
