"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.37253906570033,0.956,0.02,0,"0","S100A14"
0,5.86519810709935,0.954,0.026,0,"0","LAMB3"
0,6.40462182024097,0.94,0.02,0,"0","NEAT1"
0,6.21655230736205,0.935,0.016,0,"0","PERP"
0,5.34745716338861,0.966,0.047,0,"0","RPS15A"
0,5.31752159689922,0.978,0.069,0,"0","TMSB4X"
0,4.80749958559804,0.965,0.06,0,"0","ANXA2"
0,4.98987931473464,0.958,0.055,0,"0","RPL29"
0,5.14667139703027,0.947,0.045,0,"0","B2M"
0,4.96251898952993,0.971,0.069,0,"0","RPL7A"
0,5.02239108159132,0.942,0.048,0,"0","CD44"
0,5.71275703102743,0.917,0.03,0,"0","LAMC2"
0,5.61414356366813,0.905,0.019,0,"0","FAM3C"
0,4.55601459597488,0.931,0.049,0,"0","TPM4"
0,5.72978598682011,0.893,0.014,0,"0","CAST"
0,4.47795205138632,0.971,0.094,0,"0","RPS2"
0,5.6821954349662,0.893,0.019,0,"0","LIMA1"
0,5.32947137594432,0.901,0.03,0,"0","KRT19"
0,5.01675762024516,0.948,0.08,0,"0","COX3"
0,4.73313671599744,0.924,0.056,0,"0","TACSTD2"
0,4.5956957511363,0.917,0.055,0,"0","RND3"
0,4.47729216484439,0.929,0.069,0,"0","TKT"
0,4.97322020372423,0.947,0.09,0,"0","ND4"
0,5.21722683263114,0.918,0.063,0,"0","CYTB"
0,5.16793470549778,0.886,0.031,0,"0","CALML3"
0,6.93944876299806,0.862,0.008,0,"0","TNFSF10"
0,5.60069271783731,0.864,0.016,0,"0","SERPINB5"
0,4.77051576995428,0.885,0.038,0,"0","HSPB1"
0,5.68240233410362,0.865,0.019,0,"0","IFI27"
0,4.82788741453974,0.894,0.048,0,"0","SFN"
0,5.25359360810322,0.865,0.021,0,"0","FXYD5"
0,5.11888935053178,0.987,0.144,0,"0","KRT17"
0,5.65181634796976,0.86,0.018,0,"0","ND5"
0,4.83855515287251,0.871,0.029,0,"0","RPL23A"
0,6.69065023502911,0.851,0.01,0,"0","DSP"
0,4.90118069425024,0.872,0.038,0,"0","ATP6"
0,4.40847948274768,0.962,0.128,0,"0","TXN"
0,3.77841096972597,0.903,0.071,0,"0","EZR"
0,4.57672900646048,0.938,0.108,0,"0","MT2A"
0,4.4502635185566,0.885,0.056,0,"0","ALCAM"
0,4.07639588891763,0.877,0.048,0,"0","LRRFIP1"
0,5.46228681463677,0.855,0.027,0,"0","ATF3"
0,5.9639561968846,0.838,0.011,0,"0","STK17A"
0,5.79240260586506,0.843,0.019,0,"0","INPP4B"
0,4.75810217812027,0.956,0.133,0,"0","COX2"
0,4.62402111069956,0.855,0.032,0,"0","TINAGL1"
0,6.0013605842647,0.833,0.013,0,"0","ATP1B1"
0,4.6034554591043,0.859,0.041,0,"0","TM4SF1"
0,4.95725161409413,0.838,0.023,0,"0","ZFAS1"
0,4.89668018146067,0.839,0.025,0,"0","TNFRSF12A"
0,5.03845812672902,0.836,0.022,0,"0","MDK"
0,3.69389495803035,0.883,0.07,0,"0","MYL12B"
0,4.83445852727636,0.834,0.023,0,"0","MYL12A"
0,3.68715320354281,0.871,0.062,0,"0","ITM2B"
0,4.77173991151543,0.833,0.029,0,"0","MIR205HG"
0,5.17845255324699,0.822,0.019,0,"0","CD59"
0,6.22420451898765,0.809,0.008,0,"0","COL17A1"
0,4.2300815137189,0.932,0.133,0,"0","ANXA1"
0,4.85003650251872,0.828,0.029,0,"0","ND3"
0,4.90838014540017,0.806,0.022,0,"0","ND2"
0,2.97180967744415,0.92,0.142,0,"0","RPL6"
0,5.33700948971085,0.798,0.022,0,"0","SEMA3C"
0,5.93621055329647,0.784,0.011,0,"0","ND4L"
0,5.49159766392006,0.798,0.027,0,"0","KRT6A"
0,4.98937113691014,0.789,0.018,0,"0","S100A16"
0,3.86862962781359,0.821,0.053,0,"0","CAMK2N1"
0,3.71185426994497,0.813,0.046,0,"0","TAGLN2"
0,3.58229630558232,0.818,0.054,0,"0","PTK2"
0,3.95787740691178,0.795,0.034,0,"0","NET1"
0,4.69136263744409,0.78,0.025,0,"0","IER3"
0,3.86983102741743,0.801,0.047,0,"0","FXYD3"
0,6.88617875271838,0.756,0.005,0,"0","SPATS2L"
0,5.61339750504606,0.757,0.01,0,"0","ITGB6"
0,4.07003131933243,0.776,0.033,0,"0","NPC2"
0,5.52342531493429,0.754,0.013,0,"0","KRT18"
0,2.47108284822664,0.867,0.131,0,"0","ITGB1"
0,5.02309330846085,0.752,0.017,0,"0","SNHG29"
0,5.48223527065855,0.753,0.018,0,"0","IL1B"
0,5.07251680642715,0.75,0.016,0,"0","PDLIM1"
0,4.92852804893982,0.751,0.018,0,"0","GAS5"
0,3.80666987380879,0.77,0.038,0,"0","RPS26"
0,3.21112030157866,0.983,0.251,0,"0","S100A11"
0,4.56317632800021,0.988,0.257,0,"0","S100A2"
0,4.47489981241091,0.753,0.023,0,"0","ND1"
0,3.08963678055429,0.792,0.063,0,"0","IGF2BP2"
0,3.62630956458876,0.768,0.042,0,"0","TPI1"
0,2.59578236844649,0.863,0.138,0,"0","MYO1B"
0,3.15144744734606,0.781,0.057,0,"0","DSTN"
0,3.07177627449735,0.983,0.263,0,"0","RPL13A"
0,6.99082894334656,0.722,0.004,0,"0","DSC3"
0,3.923753387903,0.756,0.038,0,"0","PDLIM5"
0,6.09261642464234,0.724,0.011,0,"0","F3"
0,2.63945473251212,0.79,0.083,0,"0","COX4I1"
0,5.57461963593333,0.717,0.01,0,"0","CTSH"
0,6.5898658775414,0.709,0.006,0,"0","DSG3"
0,2.70874676803197,0.929,0.23,0,"0","DST"
0,4.19877521024674,0.723,0.024,0,"0","CTSB"
0,4.83721570698083,0.718,0.02,0,"0","MT1E"
0,6.63521754656838,0.703,0.005,0,"0","ITGA2"
0,3.30868949369274,0.755,0.058,0,"0","MYO1E"
0,4.12661791637519,0.725,0.029,0,"0","TXNDC17"
0,2.3117390049347,0.848,0.152,0,"0","HMGA1"
0,2.07983438893791,0.869,0.176,0,"0","NRIP1"
0,2.66661442523896,0.788,0.095,0,"0","ZSWIM6"
0,6.30569072076636,0.703,0.01,0,"0","AREG"
0,5.9714583902936,0.701,0.009,0,"0","RIMS2"
0,5.6443342600665,0.699,0.008,0,"0","SAMD9"
0,2.19559264816481,0.819,0.129,0,"0","LDHA"
0,3.92169753856605,0.73,0.04,0,"0","CAV1"
0,5.93474998147378,0.7,0.01,0,"0","KYNU"
