"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.78012376093932,0.94,0.087,0,"0","RPLP1P4"
0,7.09412121136709,0.875,0.049,0,"0","FAUP1"
0,7.08754284718677,0.852,0.049,0,"0","S100A4"
0,7.19934640788034,0.836,0.036,0,"0","RPS26P2"
0,7.25493189543688,0.832,0.034,0,"0","RPS2P33"
0,6.15924698125606,0.875,0.101,0,"0","VIM"
0,6.43029427663041,0.823,0.068,0,"0","RPS27AP16"
0,5.63574602314704,0.888,0.18,0,"0","CHIC2"
0,7.06391547615398,0.737,0.032,0,"0","RPS7P10"
0,7.21738889409459,0.725,0.026,0,"0","RPL17P34"
0,7.09101267254667,0.695,0.023,0,"0","RPS2P18"
0,7.07437392105808,0.667,0.025,0,"0","RACK1P1"
0,6.9270245472567,0.665,0.027,0,"0","RPS3AP26"
0,6.83758917324369,0.673,0.039,0,"0","RPS16P10"
0,7.11624594771595,0.641,0.026,0,"0","TPT1P4"
0,7.44889396383058,0.636,0.023,0,"0","RPL7P32"
0,6.85831319045082,0.64,0.034,0,"0","RPS3P3"
0,6.76653641795184,0.639,0.034,0,"0","LOC100287430"
0,6.87512883928649,0.625,0.029,0,"0","RPL6P10"
0,7.08410071278378,0.601,0.024,0,"0","RPS27AP15"
0,6.96520149502463,0.592,0.027,0,"0","RPS27P9"
0,7.21266652225414,0.58,0.02,0,"0","RPL27AP5"
0,6.84904288677127,0.582,0.029,0,"0","RPS24P19"
0,6.67766737010291,0.581,0.03,0,"0","RPL23P6"
0,7.1451061098453,0.565,0.022,0,"0","RPL19P6"
0,7.34690735591199,0.56,0.018,0,"0","HSPA8P1"
0,6.04338431119542,0.592,0.055,0,"0","RPL32P18"
0,7.12507262626335,0.555,0.019,0,"0","RPS10P16"
0,6.98039113493098,0.555,0.023,0,"0","RPLP2P5"
0,6.97477747427635,0.543,0.02,0,"0","RPS8P4"
0,5.97597749889163,0.58,0.057,0,"0","RPL10P16"
0,4.67059783466646,0.92,0.399,0,"0","UBB"
0,7.13290566304437,0.543,0.022,0,"0","RPL37P5"
0,6.88830358375816,0.538,0.02,0,"0","RPS7P8"
0,6.90924336664489,0.535,0.022,0,"0","RPS12P4"
0,5.41955679845819,0.586,0.086,0,"0","RPL27AP6"
0,6.86888590810623,0.52,0.022,0,"0","RPS19P1"
0,7.1573767920729,0.51,0.019,0,"0","RPL41P6"
0,6.86169618232252,0.504,0.021,0,"0","RPS20P10"
0,4.67109109483115,0.67,0.193,0,"0","RPL13P12"
0,6.82866967543263,0.497,0.02,0,"0","RPS24P15"
0,7.28378269204833,0.485,0.016,0,"0","RPL21P41"
0,7.18616322095547,0.483,0.017,0,"0","RPL32P20"
0,7.10824635808595,0.482,0.017,0,"0","RPSAP19"
0,6.82160358229933,0.48,0.021,0,"0","HSP90AA2P"
0,7.34031760307981,0.472,0.015,0,"0","RPL22P2"
0,6.98000586747775,0.476,0.02,0,"0","MTRNR2L10"
0,7.0665838732424,0.46,0.018,0,"0","RPL35AP34"
0,6.20618706186555,0.48,0.041,0,"0","RPL17P9"
0,7.34233316952523,0.452,0.015,0,"0","ACTBP2"
0,6.83216694809475,0.455,0.019,0,"0","RPL10AP4"
0,6.76095604009219,0.456,0.025,0,"0","RPL37AP8"
0,6.9714999905135,0.442,0.016,0,"0","RPL15P5"
0,5.39294188112134,0.487,0.067,0,"0","RPS3P4"
0,6.98038456110933,0.432,0.018,0,"0","RPS16P7"
0,4.53491007346574,0.571,0.159,0,"0","RPS18P5"
0,6.50469836088099,0.433,0.023,0,"0","RPL32P32"
0,7.66603694613623,0.421,0.013,0,"0","HSPA5P1"
0,6.08593901309947,0.445,0.038,0,"0","RPS8P8"
0,6.84820276295882,0.424,0.017,0,"0","RPL5P17"
0,6.9511927746604,0.419,0.016,0,"0","EIF1P5"
0,7.52586668462836,0.413,0.013,0,"0","RPL23AP44"
0,3.7929298602559,0.654,0.292,0,"0","TUBA1A"
0,3.48357975775905,0.829,0.57,0,"0","H2AZ1"
0,3.17374321625136,0.656,0.433,0,"0","TUBA4A"
0,3.15465365986023,0.973,0.887,0,"0","DDX5"
0,1.72983132867093,0.821,0.897,0,"0","LGALS1"
0,1.55345393096162,0.84,0.915,0,"0","RPS21"
0,1.57923971193692,0.835,0.905,0,"0","RPS5"
0,1.48110025139031,0.867,0.934,0,"0","RPLP0"
0,3.3289472279573,0.969,0.912,0,"0","H3-3B"
0,1.1481241482813,0.931,0.988,0,"0","RPL34"
0,0.954294080227791,0.938,0.994,0,"0","RPL28"
0,0.931864153357417,0.942,0.996,0,"0","RPS19"
0,1.17370672169701,0.936,0.99,0,"0","RACK1"
0,1.24054576001485,0.926,0.978,0,"0","RPL18A"
0,1.34355012461004,0.924,0.976,0,"0","RPL23"
0,1.03132607894927,0.944,0.99,0,"0","RPL11"
0,2.37822704657461,0.956,0.915,0,"0","UBA52"
0,1.19512979243996,0.951,0.99,0,"0","RPL19"
0,1.78982220999817,0.919,0.957,0,"0","FAU"
0,1.4766704924145,0.947,0.984,0,"0","RPL37"
0,2.16210656884641,0.775,0.808,0,"0","HSPA5"
0,3.1588577042885,0.957,0.927,0,"0","S100A6"
0,1.28449084842902,0.974,0.995,0,"0","RPL30"
0,2.01968943098289,0.918,0.939,0,"0","PABPC1"
0,2.10083364548379,0.783,0.766,0,"0","CALM1"
0,1.26773383927414,0.978,0.995,0,"0","RPS14"
0,2.28404733668553,0.824,0.811,0,"0","YBX1"
0,1.49541580689927,0.988,0.996,0,"0","RPL8"
0,2.02531231417116,0.95,0.958,0,"0","RPS20"
7.03629676423305e-305,7.06212557499736,0.406,0.017,4.14578605348611e-300,"0","RPL30P14"
7.57625075094453e-305,6.88634949465394,0.404,0.015,4.46392694245652e-300,"0","RPS15P2"
2.93583927586438e-303,6.77468015623694,0.408,0.019,1.72979650133929e-298,"0","RPL13AP24"
3.7921636260377e-301,6.98311706945373,0.4,0.014,2.23434280846141e-296,"0","COX5BP1"
7.32689414723328e-297,7.39971568221602,0.395,0.014,4.31700603154985e-292,"0","RPS12P32"
2.03648405442567e-290,7.3328824948393,0.387,0.012,1.1998964048676e-285,"0","RPL7P45"
4.16140035492575e-290,2.19964991071476,0.721,0.708,2.45189708912225e-285,"0","NAP1L1"
1.87767238680031e-287,2.8875690633072,0.692,0.578,1.10632457030274e-282,"0","NFKBIA"
6.34293702254359e-286,7.09928120136509,0.383,0.013,3.73725849368268e-281,"0","RPS15AP25"
9.00011356861032e-285,7.63538699703255,0.377,0.009,5.3028669146252e-280,"0","NPM1P4"
8.16562016388473e-283,5.53261424894434,0.425,0.053,4.81118340056088e-278,"0","RPL13AP25"
5.19791532808411e-282,7.06954998537774,0.38,0.013,3.06261171130716e-277,"0","RPL23P8"
5.80971485725582e-278,6.98100362012915,0.379,0.016,3.42308399389513e-273,"0","H2AW"
8.76219827279304e-278,7.54641859805539,0.37,0.01,5.16268722232966e-273,"0","RPL39P5"
1.1517423577086e-273,7.06536004734349,0.374,0.015,6.78606597161907e-269,"0","RPL3P2"
5.13591705002685e-272,7.38600083511181,0.367,0.011,3.02608232587582e-267,"0","RPL3P9"
1.90839587162295e-271,7.23543203026282,0.369,0.013,1.12442684756024e-266,"0","TPT1P10"
2.19252345191036e-271,7.15786485098575,0.369,0.013,1.29183481786558e-266,"0","COL1A2"
4.16927253879629e-267,7.06802025483894,0.365,0.014,2.45653537985877e-262,"0","RPL10P1"
3.84132217013099e-263,6.89235141197268,0.364,0.016,2.26330702264118e-258,"0","RPS20P6"
1.23008870621067e-258,6.9598684802381,0.357,0.015,7.24768265699325e-254,"0","RPS8P5"
4.55778703194321e-257,4.33136312179383,0.477,0.141,2.68544811922094e-252,"0","RPS10P19"
2.27574718894001e-255,6.73834164513502,0.359,0.018,1.34087024372345e-250,"0","RPL21P110"
2.38463367441823e-255,7.3464363818371,0.349,0.011,1.40502616096722e-250,"0","PDGFRA"
3.77173164542681e-252,5.69416557245114,0.381,0.039,2.22230428548548e-247,"0","RPS8P1"
6.33087973773609e-251,5.86654090870003,0.381,0.041,3.73015434147411e-246,"0","RPL31P4"
1.07880305525748e-250,1.8883626751942,0.723,0.792,6.35630760157705e-246,"0","GNAS"
7.91518784177155e-250,4.90164105793309,0.398,0.055,4.66362867637179e-245,"0","FN1"
8.39584844544377e-250,7.17506112440341,0.346,0.013,4.94683390405547e-245,"0","FTH1P2"
1.61950012886554e-249,6.65449504176763,0.35,0.016,9.54209475927575e-245,"0","UBA52P5"
2.53315023816014e-249,3.93924664010213,0.512,0.205,1.49253212032395e-244,"0","RPL3P4"
